pk_gold,lat,lon,dias_evaluados,dias_optimos,pct_optimos,score_final,aggregated_at
4.099607|-76.099525,4.099607,-76.099525,3643,1938,53.2,85.07,2026-04-14 09:57:56.419936-05
4.199607|-76.099525,4.199607,-76.099525,3643,1418,38.92,82.92,2026-04-14 09:57:56.419936-05
4.299608|-75.999524,4.299608,-75.999524,3643,888,24.38,79.28,2026-04-14 09:57:56.419936-05
5.499613|-75.599522,5.499613,-75.599522,3643,895,24.57,79.2,2026-04-14 09:57:56.419936-05
5.599614|-75.599522,5.599614,-75.599522,3643,936,25.69,79.02,2026-04-14 09:57:56.419936-05
4.199607|-75.999524,4.199607,-75.999524,3643,1465,40.21,78.99,2026-04-14 09:57:56.419936-05
4.299608|-75.799523,4.299608,-75.799523,3643,801,21.99,78.99,2026-04-14 09:57:56.419936-05
5.399613|-75.599522,5.399613,-75.599522,3643,774,21.25,78.63,2026-04-14 09:57:56.419936-05
4.399608|-75.799523,4.399608,-75.799523,3643,693,19.02,78.29,2026-04-14 09:57:56.419936-05
5.299612|-75.599522,5.299612,-75.599522,3643,643,17.65,78.01,2026-04-14 09:57:56.419936-05
4.299608|-75.899524,4.299608,-75.899524,3643,631,17.32,77.81,2026-04-14 09:57:56.419936-05
4.299608|-76.099525,4.299608,-76.099525,3643,720,19.76,77.71,2026-04-14 09:57:56.419936-05
5.199612|-75.599522,5.199612,-75.599522,3643,493,13.53,77.11,2026-04-14 09:57:56.419936-05
5.599614|-75.499522,5.599614,-75.499522,3643,811,22.26,76.94,2026-04-14 09:57:56.419936-05
4.399608|-75.899524,4.399608,-75.899524,3643,498,13.67,76.45,2026-04-14 09:57:56.419936-05
5.299612|-75.699523,5.299612,-75.699523,3643,458,12.57,76.41,2026-04-14 09:57:56.419936-05
4.499609|-75.899524,4.499609,-75.899524,3643,548,15.04,76.28,2026-04-14 09:57:56.419936-05
4.399608|-75.999524,4.399608,-75.999524,3643,511,14.03,76.07,2026-04-14 09:57:56.419936-05
5.099611|-75.599522,5.099611,-75.599522,3643,316,8.67,76.02,2026-04-14 09:57:56.419936-05
5.499613|-75.499522,5.499613,-75.499522,3643,854,23.44,75.86,2026-04-14 09:57:56.419936-05
5.199612|-75.699523,5.199612,-75.699523,3643,341,9.36,75.64,2026-04-14 09:57:56.419936-05
4.499609|-75.799523,4.499609,-75.799523,3643,404,11.09,75.34,2026-04-14 09:57:56.419936-05
4.79961|-75.899524,4.79961,-75.899524,3643,506,13.89,75.23,2026-04-14 09:57:56.419936-05
4.69961|-75.799523,4.69961,-75.799523,3643,452,12.41,74.97,2026-04-14 09:57:56.419936-05
