pk_resumen,lat,lon,score_final,dias_evaluados,dias_optimos,pct_optimos,mes,score_mensual_promedio,variabilidad_score,confort_pct_mes,desviacion_estacional,aggregated_at
4.099607|-76.099525|1,4.099607,-76.099525,85.07,3643,1938,53.2,1,61.8,18.87,48.82,-23.27,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|2,4.099607,-76.099525,85.07,3643,1938,53.2,2,64.84,18.46,55.99,-20.23,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|3,4.099607,-76.099525,85.07,3643,1938,53.2,3,64.74,17.04,55.4,-20.33,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|4,4.099607,-76.099525,85.07,3643,1938,53.2,4,63.63,16.46,53.15,-21.44,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|5,4.099607,-76.099525,85.07,3643,1938,53.2,5,62.83,16.12,51.47,-22.24,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|6,4.099607,-76.099525,85.07,3643,1938,53.2,6,63.33,16.33,52.0,-21.74,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|7,4.099607,-76.099525,85.07,3643,1938,53.2,7,64.18,18.1,54.56,-20.89,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|8,4.099607,-76.099525,85.07,3643,1938,53.2,8,64.38,20.31,56.12,-20.69,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|9,4.099607,-76.099525,85.07,3643,1938,53.2,9,65.32,20.08,57.73,-19.75,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|10,4.099607,-76.099525,85.07,3643,1938,53.2,10,62.44,17.07,50.36,-22.63,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|11,4.099607,-76.099525,85.07,3643,1938,53.2,11,60.46,16.17,44.35,-24.61,2026-04-14 09:57:56.419936-05
4.099607|-76.099525|12,4.099607,-76.099525,85.07,3643,1938,53.2,12,61.78,17.07,48.51,-23.29,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|1,4.199607,-76.099525,82.92,3643,1418,38.92,1,61.8,18.87,48.82,-21.12,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|2,4.199607,-76.099525,82.92,3643,1418,38.92,2,64.84,18.46,55.99,-18.08,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|3,4.199607,-76.099525,82.92,3643,1418,38.92,3,64.74,17.04,55.4,-18.18,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|4,4.199607,-76.099525,82.92,3643,1418,38.92,4,63.63,16.46,53.15,-19.29,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|5,4.199607,-76.099525,82.92,3643,1418,38.92,5,62.83,16.12,51.47,-20.09,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|6,4.199607,-76.099525,82.92,3643,1418,38.92,6,63.33,16.33,52.0,-19.59,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|7,4.199607,-76.099525,82.92,3643,1418,38.92,7,64.18,18.1,54.56,-18.74,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|8,4.199607,-76.099525,82.92,3643,1418,38.92,8,64.38,20.31,56.12,-18.54,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|9,4.199607,-76.099525,82.92,3643,1418,38.92,9,65.32,20.08,57.73,-17.6,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|10,4.199607,-76.099525,82.92,3643,1418,38.92,10,62.44,17.07,50.36,-20.48,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|11,4.199607,-76.099525,82.92,3643,1418,38.92,11,60.46,16.17,44.35,-22.46,2026-04-14 09:57:56.419936-05
4.199607|-76.099525|12,4.199607,-76.099525,82.92,3643,1418,38.92,12,61.78,17.07,48.51,-21.14,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|1,4.299608,-75.999524,79.28,3643,888,24.38,1,61.8,18.87,48.82,-17.48,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|2,4.299608,-75.999524,79.28,3643,888,24.38,2,64.84,18.46,55.99,-14.44,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|3,4.299608,-75.999524,79.28,3643,888,24.38,3,64.74,17.04,55.4,-14.54,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|4,4.299608,-75.999524,79.28,3643,888,24.38,4,63.63,16.46,53.15,-15.65,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|5,4.299608,-75.999524,79.28,3643,888,24.38,5,62.83,16.12,51.47,-16.45,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|6,4.299608,-75.999524,79.28,3643,888,24.38,6,63.33,16.33,52.0,-15.95,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|7,4.299608,-75.999524,79.28,3643,888,24.38,7,64.18,18.1,54.56,-15.1,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|8,4.299608,-75.999524,79.28,3643,888,24.38,8,64.38,20.31,56.12,-14.9,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|9,4.299608,-75.999524,79.28,3643,888,24.38,9,65.32,20.08,57.73,-13.96,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|10,4.299608,-75.999524,79.28,3643,888,24.38,10,62.44,17.07,50.36,-16.84,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|11,4.299608,-75.999524,79.28,3643,888,24.38,11,60.46,16.17,44.35,-18.82,2026-04-14 09:57:56.419936-05
4.299608|-75.999524|12,4.299608,-75.999524,79.28,3643,888,24.38,12,61.78,17.07,48.51,-17.5,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|1,5.499613,-75.599522,79.2,3643,895,24.57,1,61.8,18.87,48.82,-17.4,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|2,5.499613,-75.599522,79.2,3643,895,24.57,2,64.84,18.46,55.99,-14.36,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|3,5.499613,-75.599522,79.2,3643,895,24.57,3,64.74,17.04,55.4,-14.46,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|4,5.499613,-75.599522,79.2,3643,895,24.57,4,63.63,16.46,53.15,-15.57,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|5,5.499613,-75.599522,79.2,3643,895,24.57,5,62.83,16.12,51.47,-16.37,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|6,5.499613,-75.599522,79.2,3643,895,24.57,6,63.33,16.33,52.0,-15.87,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|7,5.499613,-75.599522,79.2,3643,895,24.57,7,64.18,18.1,54.56,-15.02,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|8,5.499613,-75.599522,79.2,3643,895,24.57,8,64.38,20.31,56.12,-14.82,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|9,5.499613,-75.599522,79.2,3643,895,24.57,9,65.32,20.08,57.73,-13.88,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|10,5.499613,-75.599522,79.2,3643,895,24.57,10,62.44,17.07,50.36,-16.76,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|11,5.499613,-75.599522,79.2,3643,895,24.57,11,60.46,16.17,44.35,-18.74,2026-04-14 09:57:56.419936-05
5.499613|-75.599522|12,5.499613,-75.599522,79.2,3643,895,24.57,12,61.78,17.07,48.51,-17.42,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|1,5.599614,-75.599522,79.02,3643,936,25.69,1,61.8,18.87,48.82,-17.22,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|2,5.599614,-75.599522,79.02,3643,936,25.69,2,64.84,18.46,55.99,-14.18,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|3,5.599614,-75.599522,79.02,3643,936,25.69,3,64.74,17.04,55.4,-14.28,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|4,5.599614,-75.599522,79.02,3643,936,25.69,4,63.63,16.46,53.15,-15.39,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|5,5.599614,-75.599522,79.02,3643,936,25.69,5,62.83,16.12,51.47,-16.19,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|6,5.599614,-75.599522,79.02,3643,936,25.69,6,63.33,16.33,52.0,-15.69,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|7,5.599614,-75.599522,79.02,3643,936,25.69,7,64.18,18.1,54.56,-14.84,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|8,5.599614,-75.599522,79.02,3643,936,25.69,8,64.38,20.31,56.12,-14.64,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|9,5.599614,-75.599522,79.02,3643,936,25.69,9,65.32,20.08,57.73,-13.7,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|10,5.599614,-75.599522,79.02,3643,936,25.69,10,62.44,17.07,50.36,-16.58,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|11,5.599614,-75.599522,79.02,3643,936,25.69,11,60.46,16.17,44.35,-18.56,2026-04-14 09:57:56.419936-05
5.599614|-75.599522|12,5.599614,-75.599522,79.02,3643,936,25.69,12,61.78,17.07,48.51,-17.24,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|1,4.299608,-75.799523,78.99,3643,801,21.99,1,61.8,18.87,48.82,-17.19,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|1,4.199607,-75.999524,78.99,3643,1465,40.21,1,61.8,18.87,48.82,-17.19,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|2,4.199607,-75.999524,78.99,3643,1465,40.21,2,64.84,18.46,55.99,-14.15,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|2,4.299608,-75.799523,78.99,3643,801,21.99,2,64.84,18.46,55.99,-14.15,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|3,4.199607,-75.999524,78.99,3643,1465,40.21,3,64.74,17.04,55.4,-14.25,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|3,4.299608,-75.799523,78.99,3643,801,21.99,3,64.74,17.04,55.4,-14.25,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|4,4.199607,-75.999524,78.99,3643,1465,40.21,4,63.63,16.46,53.15,-15.36,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|4,4.299608,-75.799523,78.99,3643,801,21.99,4,63.63,16.46,53.15,-15.36,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|5,4.199607,-75.999524,78.99,3643,1465,40.21,5,62.83,16.12,51.47,-16.16,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|5,4.299608,-75.799523,78.99,3643,801,21.99,5,62.83,16.12,51.47,-16.16,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|6,4.199607,-75.999524,78.99,3643,1465,40.21,6,63.33,16.33,52.0,-15.66,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|6,4.299608,-75.799523,78.99,3643,801,21.99,6,63.33,16.33,52.0,-15.66,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|7,4.199607,-75.999524,78.99,3643,1465,40.21,7,64.18,18.1,54.56,-14.81,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|7,4.299608,-75.799523,78.99,3643,801,21.99,7,64.18,18.1,54.56,-14.81,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|8,4.199607,-75.999524,78.99,3643,1465,40.21,8,64.38,20.31,56.12,-14.61,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|8,4.299608,-75.799523,78.99,3643,801,21.99,8,64.38,20.31,56.12,-14.61,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|9,4.299608,-75.799523,78.99,3643,801,21.99,9,65.32,20.08,57.73,-13.67,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|9,4.199607,-75.999524,78.99,3643,1465,40.21,9,65.32,20.08,57.73,-13.67,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|10,4.299608,-75.799523,78.99,3643,801,21.99,10,62.44,17.07,50.36,-16.55,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|10,4.199607,-75.999524,78.99,3643,1465,40.21,10,62.44,17.07,50.36,-16.55,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|11,4.299608,-75.799523,78.99,3643,801,21.99,11,60.46,16.17,44.35,-18.53,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|11,4.199607,-75.999524,78.99,3643,1465,40.21,11,60.46,16.17,44.35,-18.53,2026-04-14 09:57:56.419936-05
4.199607|-75.999524|12,4.199607,-75.999524,78.99,3643,1465,40.21,12,61.78,17.07,48.51,-17.21,2026-04-14 09:57:56.419936-05
4.299608|-75.799523|12,4.299608,-75.799523,78.99,3643,801,21.99,12,61.78,17.07,48.51,-17.21,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|1,5.399613,-75.599522,78.63,3643,774,21.25,1,61.8,18.87,48.82,-16.83,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|2,5.399613,-75.599522,78.63,3643,774,21.25,2,64.84,18.46,55.99,-13.79,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|3,5.399613,-75.599522,78.63,3643,774,21.25,3,64.74,17.04,55.4,-13.89,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|4,5.399613,-75.599522,78.63,3643,774,21.25,4,63.63,16.46,53.15,-15.0,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|5,5.399613,-75.599522,78.63,3643,774,21.25,5,62.83,16.12,51.47,-15.8,2026-04-14 09:57:56.419936-05
5.399613|-75.599522|6,5.399613,-75.599522,78.63,3643,774,21.25,6,63.33,16.33,52.0,-15.3,2026-04-14 09:57:56.419936-05
